,h,l,n,fairness_sent,cor,cor_abs
241,125,325,50,fairness_sent,0.4182,0.4182
242,125,325,75,fairness_sent,0.3861,0.3861
243,125,325,100,fairness_sent,0.36,0.36
244,125,325,125,fairness_sent,0.3509,0.3509
245,125,350,25,fairness_sent,0.3106,0.3106
246,125,350,50,fairness_sent,0.4182,0.4182
247,125,350,75,fairness_sent,0.3844,0.3844
248,125,350,100,fairness_sent,0.3515,0.3515
249,125,350,125,fairness_sent,0.3271,0.3271
250,125,375,25,fairness_sent,0.2715,0.2715
251,125,375,50,fairness_sent,0.4033,0.4033
252,125,375,75,fairness_sent,0.3811,0.3811
253,125,375,100,fairness_sent,0.3544,0.3544
254,125,375,125,fairness_sent,0.3204,0.3204
255,125,400,25,fairness_sent,0.0838,0.0838
256,125,400,50,fairness_sent,0.4077,0.4077
257,125,400,75,fairness_sent,0.388,0.388
258,125,400,100,fairness_sent,0.362,0.362
259,125,400,125,fairness_sent,0.3316,0.3316
260,125,425,25,fairness_sent,0.2062,0.2062
261,125,425,50,fairness_sent,0.4134,0.4134
262,125,425,75,fairness_sent,0.3955,0.3955
263,125,425,100,fairness_sent,0.3591,0.3591
264,125,425,125,fairness_sent,0.3253,0.3253
265,125,450,25,fairness_sent,0.2661,0.2661
266,125,450,50,fairness_sent,0.3966,0.3966
267,125,450,75,fairness_sent,0.4036,0.4036
268,125,450,100,fairness_sent,0.3483,0.3483
269,125,450,125,fairness_sent,0.3308,0.3308
270,125,475,25,fairness_sent,0.2661,0.2661
271,125,475,50,fairness_sent,0.4052,0.4052
272,125,475,75,fairness_sent,0.3846,0.3846
273,125,475,100,fairness_sent,0.3445,0.3445
274,125,475,125,fairness_sent,0.3249,0.3249
275,125,500,25,fairness_sent,0.2476,0.2476
276,125,500,50,fairness_sent,0.402,0.402
277,125,500,75,fairness_sent,0.3872,0.3872
278,125,500,100,fairness_sent,0.3396,0.3396
279,125,500,125,fairness_sent,0.3239,0.3239
280,150,25,25,fairness_sent,-0.2069,0.2069
281,150,50,25,fairness_sent,0.3878,0.3878
282,150,50,50,fairness_sent,-0.2226,0.2226
283,150,75,25,fairness_sent,0.413,0.413
284,150,75,50,fairness_sent,0.4493,0.4493
285,150,75,75,fairness_sent,0.3128,0.3128
286,150,100,25,fairness_sent,0.4189,0.4189
287,150,100,50,fairness_sent,-0.4606,0.4606
288,150,100,75,fairness_sent,-0.4529,0.4529
289,150,100,100,fairness_sent,0.3632,0.3632
290,150,125,25,fairness_sent,0.4112,0.4112
291,150,125,50,fairness_sent,-0.453,0.453
292,150,125,75,fairness_sent,-0.4719,0.4719
293,150,125,100,fairness_sent,0.484,0.484
294,150,125,125,fairness_sent,-0.381,0.381
295,150,150,25,fairness_sent,-0.429,0.429
296,150,150,50,fairness_sent,0.4538,0.4538
297,150,150,75,fairness_sent,0.474,0.474
298,150,150,100,fairness_sent,0.4748,0.4748
299,150,150,125,fairness_sent,0.4824,0.4824
300,150,150,150,fairness_sent,0.3381,0.3381
301,150,175,25,fairness_sent,-0.4062,0.4062
302,150,175,50,fairness_sent,0.4471,0.4471
303,150,175,75,fairness_sent,0.466,0.466
304,150,175,100,fairness_sent,0.4749,0.4749
305,150,175,125,fairness_sent,0.4798,0.4798
306,150,175,150,fairness_sent,0.4788,0.4788
307,150,200,25,fairness_sent,-0.3224,0.3224
308,150,200,50,fairness_sent,-0.3874,0.3874
309,150,200,75,fairness_sent,0.4137,0.4137
310,150,200,100,fairness_sent,0.447,0.447
311,150,200,125,fairness_sent,-0.4607,0.4607
312,150,200,150,fairness_sent,0.4522,0.4522
313,150,225,25,fairness_sent,-0.3199,0.3199
314,150,225,50,fairness_sent,0.3853,0.3853
315,150,225,75,fairness_sent,0.4113,0.4113
316,150,225,100,fairness_sent,0.4247,0.4247
317,150,225,125,fairness_sent,0.4244,0.4244
318,150,225,150,fairness_sent,0.4225,0.4225
319,150,250,25,fairness_sent,-0.3772,0.3772
320,150,250,50,fairness_sent,0.3731,0.3731
321,150,250,75,fairness_sent,0.4028,0.4028
322,150,250,100,fairness_sent,0.3987,0.3987
