,h,l,n,sanctity_sent,cor,cor_abs
213,125,175,100,sanctity_sent,0.3928,0.3928
214,125,175,125,sanctity_sent,0.3753,0.3753
215,125,200,25,sanctity_sent,-0.3729,0.3729
216,125,200,50,sanctity_sent,0.4061,0.4061
217,125,200,75,sanctity_sent,0.4401,0.4401
218,125,200,100,sanctity_sent,-0.4112,0.4112
219,125,200,125,sanctity_sent,0.3695,0.3695
220,125,225,25,sanctity_sent,-0.3477,0.3477
221,125,225,50,sanctity_sent,-0.3946,0.3946
222,125,225,75,sanctity_sent,-0.4199,0.4199
223,125,225,100,sanctity_sent,-0.4032,0.4032
224,125,225,125,sanctity_sent,0.3689,0.3689
225,125,250,25,sanctity_sent,-0.3193,0.3193
226,125,250,50,sanctity_sent,-0.4027,0.4027
227,125,250,75,sanctity_sent,-0.4314,0.4314
228,125,250,100,sanctity_sent,0.4004,0.4004
229,125,250,125,sanctity_sent,0.3496,0.3496
230,125,275,25,sanctity_sent,-0.315,0.315
231,125,275,50,sanctity_sent,-0.411,0.411
232,125,275,75,sanctity_sent,-0.4307,0.4307
233,125,275,100,sanctity_sent,0.3862,0.3862
234,125,275,125,sanctity_sent,0.3507,0.3507
235,125,300,25,sanctity_sent,-0.317,0.317
236,125,300,50,sanctity_sent,-0.3998,0.3998
237,125,300,75,sanctity_sent,-0.4326,0.4326
238,125,300,100,sanctity_sent,0.3913,0.3913
239,125,300,125,sanctity_sent,0.37,0.37
240,125,325,25,sanctity_sent,-0.3248,0.3248
241,125,325,50,sanctity_sent,0.3879,0.3879
242,125,325,75,sanctity_sent,-0.4286,0.4286
243,125,325,100,sanctity_sent,0.3903,0.3903
244,125,325,125,sanctity_sent,0.372,0.372
245,125,350,25,sanctity_sent,-0.3576,0.3576
246,125,350,50,sanctity_sent,0.3952,0.3952
247,125,350,75,sanctity_sent,0.4096,0.4096
248,125,350,100,sanctity_sent,0.4,0.4
249,125,350,125,sanctity_sent,0.3557,0.3557
250,125,375,25,sanctity_sent,-0.3576,0.3576
251,125,375,50,sanctity_sent,0.3642,0.3642
252,125,375,75,sanctity_sent,0.3942,0.3942
253,125,375,100,sanctity_sent,0.388,0.388
254,125,375,125,sanctity_sent,0.3387,0.3387
255,125,400,25,sanctity_sent,-0.325,0.325
256,125,400,50,sanctity_sent,0.3588,0.3588
257,125,400,75,sanctity_sent,0.3746,0.3746
258,125,400,100,sanctity_sent,0.3875,0.3875
259,125,400,125,sanctity_sent,0.3323,0.3323
260,125,425,25,sanctity_sent,-0.3508,0.3508
261,125,425,50,sanctity_sent,-0.3559,0.3559
262,125,425,75,sanctity_sent,0.3697,0.3697
263,125,425,100,sanctity_sent,0.3674,0.3674
264,125,425,125,sanctity_sent,0.3284,0.3284
265,125,450,25,sanctity_sent,-0.2939,0.2939
266,125,450,50,sanctity_sent,-0.3547,0.3547
267,125,450,75,sanctity_sent,-0.3696,0.3696
268,125,450,100,sanctity_sent,0.3521,0.3521
269,125,450,125,sanctity_sent,0.3128,0.3128
270,125,475,25,sanctity_sent,0.2956,0.2956
271,125,475,50,sanctity_sent,-0.3615,0.3615
272,125,475,75,sanctity_sent,-0.3668,0.3668
273,125,475,100,sanctity_sent,0.3586,0.3586
274,125,475,125,sanctity_sent,0.3099,0.3099
275,125,500,25,sanctity_sent,-0.2951,0.2951
276,125,500,50,sanctity_sent,-0.3627,0.3627
277,125,500,75,sanctity_sent,0.3627,0.3627
278,125,500,100,sanctity_sent,0.3438,0.3438
279,125,500,125,sanctity_sent,0.3013,0.3013
280,150,25,25,sanctity_sent,-0.1638,0.1638
281,150,50,25,sanctity_sent,0.365,0.365
282,150,50,50,sanctity_sent,0.2384,0.2384
283,150,75,25,sanctity_sent,-0.3331,0.3331
284,150,75,50,sanctity_sent,-0.4011,0.4011
285,150,75,75,sanctity_sent,-0.401,0.401
286,150,100,25,sanctity_sent,0.3762,0.3762
287,150,100,50,sanctity_sent,0.4035,0.4035
288,150,100,75,sanctity_sent,-0.423,0.423
289,150,100,100,sanctity_sent,-0.4234,0.4234
290,150,125,25,sanctity_sent,-0.3611,0.3611
291,150,125,50,sanctity_sent,0.4061,0.4061
292,150,125,75,sanctity_sent,-0.4258,0.4258
293,150,125,100,sanctity_sent,-0.4475,0.4475
294,150,125,125,sanctity_sent,-0.4515,0.4515
295,150,150,25,sanctity_sent,-0.3998,0.3998
296,150,150,50,sanctity_sent,0.4214,0.4214
297,150,150,75,sanctity_sent,0.4178,0.4178
298,150,150,100,sanctity_sent,0.4339,0.4339
299,150,150,125,sanctity_sent,-0.4519,0.4519
300,150,150,150,sanctity_sent,-0.4585,0.4585
301,150,175,25,sanctity_sent,-0.3745,0.3745
302,150,175,50,sanctity_sent,-0.4402,0.4402
303,150,175,75,sanctity_sent,0.4182,0.4182
304,150,175,100,sanctity_sent,0.405,0.405
305,150,175,125,sanctity_sent,-0.4126,0.4126
306,150,175,150,sanctity_sent,-0.4355,0.4355
307,150,200,25,sanctity_sent,-0.3834,0.3834
308,150,200,50,sanctity_sent,-0.4378,0.4378
309,150,200,75,sanctity_sent,0.4463,0.4463
310,150,200,100,sanctity_sent,-0.4082,0.4082
311,150,200,125,sanctity_sent,-0.4108,0.4108
312,150,200,150,sanctity_sent,0.4059,0.4059
313,150,225,25,sanctity_sent,-0.3129,0.3129
314,150,225,50,sanctity_sent,0.3971,0.3971
315,150,225,75,sanctity_sent,-0.4146,0.4146
316,150,225,100,sanctity_sent,-0.4183,0.4183
317,150,225,125,sanctity_sent,-0.407,0.407
318,150,225,150,sanctity_sent,0.3854,0.3854
319,150,250,25,sanctity_sent,-0.3351,0.3351
320,150,250,50,sanctity_sent,-0.3738,0.3738
321,150,250,75,sanctity_sent,-0.4189,0.4189
322,150,250,100,sanctity_sent,-0.4266,0.4266
323,150,250,125,sanctity_sent,-0.3958,0.3958
324,150,250,150,sanctity_sent,0.3469,0.3469
325,150,275,25,sanctity_sent,-0.3238,0.3238
326,150,275,50,sanctity_sent,-0.3508,0.3508
327,150,275,75,sanctity_sent,-0.4233,0.4233
328,150,275,100,sanctity_sent,-0.4264,0.4264
329,150,275,125,sanctity_sent,-0.4025,0.4025
330,150,275,150,sanctity_sent,0.3765,0.3765
331,150,300,25,sanctity_sent,-0.3238,0.3238
332,150,300,50,sanctity_sent,-0.3526,0.3526
333,150,300,75,sanctity_sent,-0.4163,0.4163
334,150,300,100,sanctity_sent,-0.4293,0.4293
335,150,300,125,sanctity_sent,-0.3995,0.3995
336,150,300,150,sanctity_sent,0.3877,0.3877
337,150,325,25,sanctity_sent,0.2971,0.2971
338,150,325,50,sanctity_sent,-0.3524,0.3524
339,150,325,75,sanctity_sent,-0.4158,0.4158
340,150,325,100,sanctity_sent,-0.4219,0.4219
341,150,325,125,sanctity_sent,0.3993,0.3993
342,150,325,150,sanctity_sent,0.3837,0.3837
343,150,350,25,sanctity_sent,0.2699,0.2699
344,150,350,50,sanctity_sent,0.3519,0.3519
345,150,350,75,sanctity_sent,-0.4026,0.4026
346,150,350,100,sanctity_sent,0.4275,0.4275
347,150,350,125,sanctity_sent,0.3978,0.3978
348,150,350,150,sanctity_sent,0.3518,0.3518
349,150,375,25,sanctity_sent,0.2798,0.2798
350,150,375,50,sanctity_sent,0.3482,0.3482
351,150,375,75,sanctity_sent,0.3914,0.3914
352,150,375,100,sanctity_sent,-0.4009,0.4009
353,150,375,125,sanctity_sent,0.3737,0.3737
354,150,375,150,sanctity_sent,0.3242,0.3242
355,150,400,25,sanctity_sent,0.2461,0.2461
