,h,l,n,authority_sent,cor,cor_abs
242,125,325,75,authority_sent,0.4311,0.4311
243,125,325,100,authority_sent,0.3979,0.3979
244,125,325,125,authority_sent,0.3942,0.3942
245,125,350,25,authority_sent,-0.3391,0.3391
246,125,350,50,authority_sent,-0.4139,0.4139
247,125,350,75,authority_sent,0.4249,0.4249
248,125,350,100,authority_sent,0.4138,0.4138
249,125,350,125,authority_sent,0.4006,0.4006
250,125,375,25,authority_sent,-0.3369,0.3369
251,125,375,50,authority_sent,-0.3758,0.3758
252,125,375,75,authority_sent,0.4069,0.4069
253,125,375,100,authority_sent,0.4142,0.4142
254,125,375,125,authority_sent,0.3902,0.3902
255,125,400,25,authority_sent,-0.3107,0.3107
256,125,400,50,authority_sent,0.3915,0.3915
257,125,400,75,authority_sent,0.4005,0.4005
258,125,400,100,authority_sent,0.3811,0.3811
259,125,400,125,authority_sent,0.3669,0.3669
260,125,425,25,authority_sent,-0.318,0.318
261,125,425,50,authority_sent,0.3911,0.3911
262,125,425,75,authority_sent,0.4051,0.4051
263,125,425,100,authority_sent,0.3812,0.3812
264,125,425,125,authority_sent,0.3695,0.3695
265,125,450,25,authority_sent,0.2986,0.2986
266,125,450,50,authority_sent,-0.3785,0.3785
267,125,450,75,authority_sent,0.3756,0.3756
268,125,450,100,authority_sent,0.3741,0.3741
269,125,450,125,authority_sent,0.367,0.367
270,125,475,25,authority_sent,0.2938,0.2938
271,125,475,50,authority_sent,0.3978,0.3978
272,125,475,75,authority_sent,0.3841,0.3841
273,125,475,100,authority_sent,0.3743,0.3743
274,125,475,125,authority_sent,0.3535,0.3535
275,125,500,25,authority_sent,0.2938,0.2938
276,125,500,50,authority_sent,0.3978,0.3978
277,125,500,75,authority_sent,0.374,0.374
278,125,500,100,authority_sent,0.3577,0.3577
279,125,500,125,authority_sent,0.3459,0.3459
280,150,25,25,authority_sent,-0.1983,0.1983
281,150,50,25,authority_sent,0.3586,0.3586
282,150,50,50,authority_sent,-0.2684,0.2684
283,150,75,25,authority_sent,-0.4178,0.4178
284,150,75,50,authority_sent,-0.4138,0.4138
285,150,75,75,authority_sent,-0.3305,0.3305
286,150,100,25,authority_sent,0.4291,0.4291
287,150,100,50,authority_sent,-0.4681,0.4681
288,150,100,75,authority_sent,-0.4038,0.4038
289,150,100,100,authority_sent,0.3412,0.3412
290,150,125,25,authority_sent,0.3539,0.3539
291,150,125,50,authority_sent,0.4538,0.4538
292,150,125,75,authority_sent,-0.4767,0.4767
293,150,125,100,authority_sent,-0.4396,0.4396
