,h,l,n,loyalty_sent,cor,cor_abs
236,125,300,50,loyalty_sent,-0.4269,0.4269
237,125,300,75,loyalty_sent,0.4009,0.4009
238,125,300,100,loyalty_sent,0.4151,0.4151
239,125,300,125,loyalty_sent,0.4065,0.4065
240,125,325,25,loyalty_sent,-0.2808,0.2808
241,125,325,50,loyalty_sent,-0.4541,0.4541
242,125,325,75,loyalty_sent,0.4038,0.4038
243,125,325,100,loyalty_sent,0.4003,0.4003
244,125,325,125,loyalty_sent,0.3989,0.3989
245,125,350,25,loyalty_sent,-0.1936,0.1936
246,125,350,50,loyalty_sent,-0.4303,0.4303
247,125,350,75,loyalty_sent,0.3979,0.3979
248,125,350,100,loyalty_sent,0.3777,0.3777
249,125,350,125,loyalty_sent,0.3745,0.3745
250,125,375,25,loyalty_sent,-0.2462,0.2462
251,125,375,50,loyalty_sent,-0.4183,0.4183
252,125,375,75,loyalty_sent,0.398,0.398
253,125,375,100,loyalty_sent,0.3504,0.3504
254,125,375,125,loyalty_sent,0.3626,0.3626
255,125,400,25,loyalty_sent,-0.2462,0.2462
256,125,400,50,loyalty_sent,-0.3708,0.3708
257,125,400,75,loyalty_sent,0.3721,0.3721
258,125,400,100,loyalty_sent,0.3404,0.3404
259,125,400,125,loyalty_sent,0.352,0.352
260,125,425,25,loyalty_sent,-0.2462,0.2462
261,125,425,50,loyalty_sent,-0.378,0.378
262,125,425,75,loyalty_sent,0.3817,0.3817
263,125,425,100,loyalty_sent,0.3575,0.3575
264,125,425,125,loyalty_sent,0.3664,0.3664
265,125,450,25,loyalty_sent,-0.0017,0.0017
266,125,450,50,loyalty_sent,0.346,0.346
267,125,450,75,loyalty_sent,0.3686,0.3686
268,125,450,100,loyalty_sent,0.3487,0.3487
269,125,450,125,loyalty_sent,0.3668,0.3668
270,125,475,25,loyalty_sent,0.0334,0.0334
271,125,475,50,loyalty_sent,0.3533,0.3533
272,125,475,75,loyalty_sent,0.361,0.361
273,125,475,100,loyalty_sent,0.3192,0.3192
274,125,475,125,loyalty_sent,0.3532,0.3532
275,125,500,25,loyalty_sent,0.0334,0.0334
276,125,500,50,loyalty_sent,0.3468,0.3468
277,125,500,75,loyalty_sent,0.3796,0.3796
278,125,500,100,loyalty_sent,0.3037,0.3037
279,125,500,125,loyalty_sent,0.3465,0.3465
280,150,25,25,loyalty_sent,-0.2127,0.2127
281,150,50,25,loyalty_sent,-0.406,0.406
282,150,50,50,loyalty_sent,-0.315,0.315
283,150,75,25,loyalty_sent,-0.4431,0.4431
284,150,75,50,loyalty_sent,-0.4518,0.4518
285,150,75,75,loyalty_sent,-0.3549,0.3549
286,150,100,25,loyalty_sent,-0.4549,0.4549
287,150,100,50,loyalty_sent,-0.4631,0.4631
288,150,100,75,loyalty_sent,-0.4399,0.4399
289,150,100,100,loyalty_sent,-0.3831,0.3831
290,150,125,25,loyalty_sent,-0.4582,0.4582
291,150,125,50,loyalty_sent,-0.4805,0.4805
292,150,125,75,loyalty_sent,-0.4774,0.4774
293,150,125,100,loyalty_sent,-0.4658,0.4658
294,150,125,125,loyalty_sent,-0.4174,0.4174
295,150,150,25,loyalty_sent,-0.463,0.463
296,150,150,50,loyalty_sent,-0.4914,0.4914
297,150,150,75,loyalty_sent,-0.4905,0.4905
298,150,150,100,loyalty_sent,-0.4852,0.4852
299,150,150,125,loyalty_sent,-0.4771,0.4771
300,150,150,150,loyalty_sent,-0.4292,0.4292
301,150,175,25,loyalty_sent,-0.4616,0.4616
302,150,175,50,loyalty_sent,-0.451,0.451
303,150,175,75,loyalty_sent,-0.4768,0.4768
304,150,175,100,loyalty_sent,-0.4852,0.4852
305,150,175,125,loyalty_sent,-0.49,0.49
306,150,175,150,loyalty_sent,-0.4901,0.4901
307,150,200,25,loyalty_sent,-0.4146,0.4146
308,150,200,50,loyalty_sent,-0.423,0.423
309,150,200,75,loyalty_sent,-0.4392,0.4392
310,150,200,100,loyalty_sent,-0.4525,0.4525
311,150,200,125,loyalty_sent,0.477,0.477
312,150,200,150,loyalty_sent,0.4683,0.4683
313,150,225,25,loyalty_sent,-0.392,0.392
314,150,225,50,loyalty_sent,-0.4177,0.4177
315,150,225,75,loyalty_sent,-0.4326,0.4326
316,150,225,100,loyalty_sent,0.4312,0.4312
317,150,225,125,loyalty_sent,0.4497,0.4497
318,150,225,150,loyalty_sent,0.451,0.451
