word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
failure,0.180952381,0.144144144,0.193548387,0.165048544,0.170454545,-0.656978947,-0.5569875,-0.6109,-0.536094118,-0.670093333
crime,0.206896552,0.227272727,0.085714286,0.120689655,0.127962085,-0.655940476,-0.737427692,-0.721105556,-0.666604762,-0.654737037
assault,0.361702128,0.172043011,0.178571429,0.148148148,0.188888889,-0.65525,-0.71583125,-0.45726,-0.712191667,-0.5543
grave,0.205882353,0.088235294,0.09375,0.068181818,0.130434783,-0.654928571,-0.349533333,-0.416266667,-0.621466667,-0.415166667
economically,0.083333333,0.083333333,0,0.108695652,0,-0.654,-0.00775,0,0.10926,0
violating,0.129032258,0.35,0.210526316,0.24,0.166666667,-0.652575,-0.707571429,0.119425,-0.6591,-0.815075
destructive,0.25,0.230769231,0.055555556,0.090909091,0.3125,-0.650533333,-0.755466667,-0.7269,-0.7269,-0.78914
fraud,0.25,0.260869565,0.185185185,0.152439024,0.24822695,-0.649938462,-0.678780952,-0.768535,-0.640532,-0.68894
bases,0.166666667,0,0.066666667,0.375,0,-0.6486,0,0.3182,-0.554516667,0
civic,0.133333333,0.166666667,0.275862069,0.137931034,0.086956522,-0.64645,0.38265,-0.168175,0.178775,-0.01585
terror,0.197802198,0.057142857,0.161290323,0.086419753,0.084337349,-0.645711111,-0.576066667,-0.61002,-0.550928571,-0.5533
die,0.228915663,0.214285714,0.126582278,0.114942529,0.177083333,-0.645473684,-0.638833333,-0.64486,-0.66681,-0.604105882
dangerous,0.210526316,0.114864865,0.100558659,0.179012346,0.089041096,-0.645327778,-0.500288235,-0.369533333,-0.480489655,-0.7442
migrant,0.181818182,0.136363636,0.12,0.142857143,0.285714286,-0.6452,-0.402233333,-0.585266667,-0.3885,-0.5031
threat,0.161290323,0.114285714,0.089285714,0.141129032,0.046511628,-0.64482,-0.590164286,-0.526455,-0.560394286,-0.58665
gross,0.205882353,0.173913043,0.034482759,0.125,0.08,-0.644285714,-0.4646,-0.4767,-0.6216,-0.50115
missions,0.0625,0.105263158,0.208333333,0.12,0.041666667,-0.6423,0.10115,0.14874,0.416433333,0
suspects,0.234782609,0.19,0.117647059,0.074626866,0.126984127,-0.641533333,-0.610078947,-0.6628875,-0.78142,-0.5414625
disturbing,0.272727273,0.178571429,0.172413793,0.115384615,0.178571429,-0.640233333,-0.66694,-0.63064,-0.670233333,-0.69214
beating,0.25,0.125,0.16,0.296296296,0.296296296,-0.639811111,-0.775825,-0.830225,-0.3972875,-0.7025
prosecution,0.3,0.193548387,0.051282051,0.157894737,0.166666667,-0.637177778,-0.72245,-0.743,-0.651777778,-0.7635
retribution,0.083333333,0.2,0.384615385,0.142857143,0,-0.6369,-0.098666667,-0.42136,-0.20095,0
arrest,0.191780822,0.134831461,0.08,0.126436782,0.1,-0.636028571,-0.564825,-0.58385,-0.369127273,-0.734285714
rejected,0.227848101,0.17721519,0.253521127,0.202380952,0.184615385,-0.634133333,-0.656428571,-0.540138889,-0.586623529,-0.62685
arrests,0.111111111,0.212121212,0.090909091,0.186046512,0.121212121,-0.633533333,-0.468685714,-0.49135,-0.5711875,-0.332975
